Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-01-03,470.84844425912456,472.3807216657983,468.42650410269573,472.2423095703125,0.0,,,,,0.0,,0.0,0.0,,
2022-01-04,473.7350360685361,474.4863470589239,470.1366836075056,472.0841369628906,0.0,,,,,0.0,,0.0,0.0,,
2022-01-05,471.6986413183359,472.50926320142855,462.9202730435947,463.0191345214844,0.0,,,,,0.0,,0.0,0.0,,
2022-01-06,462.53472131142144,465.43117839173607,460.1028558261161,462.5841369628906,0.0,,,,,0.0,,0.0,0.0,,
2022-01-07,462.5940369036953,463.8297298859487,459.331789329575,460.75531005859375,0.0,,,,,0.0,,0.0,0.0,,
2022-01-10,457.404140820011,460.40932452656926,451.37395284256405,460.1819763183594,0.0,,,,,0.0,,0.0,0.0,,
2022-01-11,459.90518843943073,464.47230508019663,456.76156242338106,464.3734436035156,0.0,,,,,0.0,,0.0,0.0,,
2022-01-12,466.1923589724666,467.78394722040724,463.57269588491556,465.6288757324219,0.0,,,,,0.0,,0.0,0.0,,
2022-01-13,466.78546443913797,467.46756932998835,458.13561418240937,459.213134765625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-14,455.911405158876,459.76676127684203,454.6361615385267,459.4010009765625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-18,454.4779996204865,454.6954827997249,450.0987107781213,451.26519775390625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-19,452.88641897197675,454.3494601338673,446.2927480410489,446.5794372558594,0.0,,,,,0.0,,0.0,0.0,,
2022-01-20,448.5565381938676,453.4894147672063,439.41241041801464,441.63665771484375,0.0,,,,,0.0,,0.0,0.0,,
2022-01-21,440.4602696443499,442.93165549618703,432.9373855921343,432.967041015625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-24,427.0851483078244,435.3395834284582,415.9441512869428,434.8057556152344,0.0,,,,,0.0,,0.0,0.0,,
2022-01-25,428.10335760369844,434.6871333979894,422.26099759477876,429.4972229003906,0.0,,,,,0.0,,0.0,0.0,,
2022-01-26,435.67569388631534,438.9577017159584,423.95142308177117,428.4197082519531,0.0,,,,,0.0,,0.0,0.0,,
2022-01-27,433.2438395533789,436.53571226839364,424.5346781339232,426.3041687011719,0.0,,,,,0.0,,0.0,0.0,,
2022-01-28,427.72768354539573,436.9410172120655,422.9233239455146,436.8916015625,0.0,,,,,0.0,,0.0,0.0,,
2022-01-31,436.1897184269397,445.1262583350566,434.7760929251571,444.760498046875,0.0,,,,,0.0,,0.0,0.0,,
2022-02-01,445.5216484474969,448.43789572444734,441.8244649881127,447.76568603515625,0.0,,,,,0.0,,0.0,0.0,,
2022-02-02,450.28652478956815,452.87653246527395,447.8645544659762,452.1153564453125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-03,445.78862101585275,447.7854900534315,440.6085754190579,441.4884033203125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-04,441.24122239205747,447.59761936626455,438.75004622264856,443.5643310546875,0.0,,,,,0.0,,0.0,0.0,,
2022-02-07,444.36508596280606,445.8281271274784,440.74697333660356,442.1408386230469,0.0,,,,,0.0,,0.0,0.0,,
2022-02-08,441.6169115248988,446.74751119945404,440.1241847488413,445.7787170410156,0.0,,,,,0.0,,0.0,0.0,,
2022-02-09,450.0097386724572,452.6392970170899,449.8021506939638,452.3031921386719,0.0,,,,,0.0,,0.0,0.0,,
2022-02-10,446.1741456673507,452.4712324586321,442.08154608023204,444.1772766113281,0.0,,,,,0.0,,0.0,0.0,,
2022-02-11,444.266213628056,446.44101509500166,433.9160483867408,435.41864013671875,0.0,,,,,0.0,,0.0,0.0,,
2022-02-14,434.8848402316152,436.5456042889373,430.3572444424276,433.9951171875,0.0,,,,,0.0,,0.0,0.0,,
2022-02-15,438.6512410794835,441.17204265347874,438.10751807548485,440.9941101074219,0.0,,,,,0.0,,0.0,0.0,,
2022-02-16,438.84894978483493,442.931684304537,436.8817361726757,441.4884033203125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-17,438.147085436672,441.45874873347236,431.4249275370094,432.0575866699219,0.0,,,,,0.0,,0.0,0.0,,
2022-02-18,432.32447369113333,433.6392679106509,426.87755957227427,429.2599792480469,0.0,,,,,0.0,,0.0,0.0,,
2022-02-22,426.94677375799444,430.5154406567137,420.98576177196225,424.6533203125,0.0,,,,,0.0,,0.0,0.0,,
2022-02-23,427.7079536938864,428.30109237221666,416.5274057552635,417.12054443359375,0.0,,,,,0.0,,0.0,0.0,,
2022-02-24,406.3156087388995,423.8525838825361,405.9399834174015,423.3978271484375,0.0,,,,,0.0,,0.0,0.0,,
2022-02-25,424.6928378276693,432.8286513336713,422.9628676418268,432.73968505859375,0.0,,,,,0.0,,0.0,0.0,,
2022-02-28,427.08515110507835,433.18454495400056,425.77038704288657,431.63250732421875,0.0,,,,,0.0,,0.0,0.0,,
2022-03-01,430.06070702979645,432.1663326915444,422.22144784831204,425.0586242675781,0.0,,,,,0.0,,0.0,0.0,,
2022-03-02,427.4212429119066,434.6871234763599,426.63041149287534,432.8780822753906,0.0,,,,,0.0,,0.0,0.0,,
2022-03-03,435.42852013444514,436.0611792082466,428.83484958238404,430.7229919433594,0.0,,,,,0.0,,0.0,0.0,,
2022-03-04,426.80836565193977,428.4098189659662,422.98266491992405,427.22357177734375,0.0,,,,,0.0,,0.0,0.0,,
2022-03-07,426.6106384934223,427.35205429210276,414.56015796540635,414.6293640136719,0.0,,,,,0.0,,0.0,0.0,,
2022-03-08,414.81720238907917,422.32032684373695,410.3687074830403,411.48577880859375,0.0,,,,,0.0,,0.0,0.0,,
2022-03-09,420.2740282816254,424.59400614348385,417.9805748540562,422.5180358886719,0.0,,,,,0.0,,0.0,0.0,,
2022-03-10,417.6839951875607,421.54924652064017,415.62781530487996,420.6101379394531,0.0,,,,,0.0,,0.0,0.0,,
2022-03-11,423.2199053036139,423.86245963056786,414.7282266197315,415.2620544433594,0.0,,,,,0.0,,0.0,0.0,,
2022-03-14,416.07266383687795,419.6907462879158,411.0310305093529,412.2271728515625,0.0,,,,,0.0,,0.0,0.0,,
2022-03-15,414.9654641175031,421.95455087309057,413.6309398298518,421.292236328125,0.0,,,,,0.0,,0.0,0.0,,
2022-03-16,424.9696361894637,430.69334404957186,419.9378680923793,430.634033203125,0.0,410.3687074830403,436.0611792082466,405.9399834174015,442.931684304537,0.0,,0.0,0.0,20.0,10.0
2022-03-17,428.6273001991835,436.0216979980468,428.23188447143536,436.0216979980469,0.0,410.3687074830403,436.0611792082466,405.9399834174015,442.931684304537,0.0,,0.0,0.0,20.0,10.0
2022-03-18,434.331945744177,441.13448178417855,433.55847910607173,440.7973327636719,0.0,410.3687074830403,436.0216979980468,405.9399834174015,441.45874873347236,0.0,,0.0,0.0,20.0,10.0
2022-03-21,440.6188576005574,442.72109875452185,436.98950474980444,440.66845703125,0.0,410.3687074830403,441.13448178417855,405.9399834174015,441.13448178417855,0.0,,0.0,0.0,20.0,10.0
2022-03-22,442.1261162499913,446.8065896653376,442.1261162499913,445.82489013671875,1.0,410.3687074830403,442.72109875452185,405.9399834174015,442.72109875452185,0.0,,0.0,0.0,20.0,10.0
2022-03-23,443.1673142577607,444.7340690854814,439.9941008506733,440.0833435058594,1.0,411.0310305093529,446.8065896653376,405.9399834174015,446.8065896653376,0.0,,0.0,0.0,20.0,10.0
2022-03-24,442.2054322196226,446.72724161164575,441.0353215133547,446.7173156738281,1.0,411.0310305093529,446.8065896653376,405.9399834174015,446.8065896653376,0.0,,0.0,0.0,20.0,10.0
2022-03-25,447.3817400586387,449.18650563408687,444.6745916954664,448.89892578125,1.0,411.0310305093529,446.8065896653376,410.3687074830403,446.8065896653376,0.0,,0.0,0.0,20.0,10.0
2022-03-28,448.2741855384289,452.0919494628906,446.2909346958001,452.0919494628906,1.0,411.0310305093529,449.18650563408687,410.3687074830403,449.18650563408687,0.0,,0.0,0.0,20.0,10.0
2022-03-29,456.1675067275879,458.2003569597553,453.3512942161517,457.6846923828125,1.0,413.6309398298518,452.0919494628906,410.3687074830403,452.0919494628906,0.0,,0.0,0.0,20.0,10.0
2022-03-30,456.4848620839005,457.33767571847,452.64727638335665,454.8586120605469,1.0,419.9378680923793,458.2003569597553,410.3687074830403,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-03-31,454.0553860342224,454.9180953227963,447.3817359465305,447.85772705078125,1.0,428.23188447143536,458.2003569597553,410.3687074830403,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-01,449.5137323511612,449.6624701169323,445.37867115268716,449.12701416015625,1.0,433.55847910607173,458.2003569597553,410.3687074830403,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-04,449.33523889932536,453.0835818389499,448.4725296114604,452.9744873046875,1.0,436.98950474980444,458.2003569597553,410.3687074830403,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-05,451.40772050749126,453.9958483027275,446.0529493440323,447.2528076171875,1.0,439.9941008506733,458.2003569597553,410.3687074830403,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-06,443.14750544454176,445.1703995445369,439.7561331394801,442.78057861328125,1.0,439.9941008506733,458.2003569597553,411.0310305093529,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-07,441.85838755010286,446.91568347666197,439.81564151209,445.0117492675781,1.0,439.7561331394801,458.2003569597553,411.0310305093529,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-08,444.2184519870874,446.8561793032968,442.2054535434022,443.8218078613281,1.0,439.7561331394801,458.2003569597553,411.0310305093529,458.2003569597553,0.0,,0.0,0.0,20.0,10.0
2022-04-11,440.39075305179466,441.27331420596965,435.71031009646197,436.2358703613281,1.0,439.7561331394801,458.2003569597553,411.0310305093529,458.2003569597553,1.0,439.7561331394801,-439.7561331394801,-3.5202627781519595,20.0,10.0
