Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-01-03,0.6200000047683716,0.6299999952316284,0.5699999928474426,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-01-04,0.6200000047683716,0.6499999761581421,0.5899999737739563,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-01-05,0.6299999952316284,0.6399999856948853,0.5799999833106995,0.5799999833106995,0.0,,,,,0.0,,0.0,0.0,,
2022-01-06,0.5799999833106995,0.5799999833106995,0.550000011920929,0.5799999833106995,0.0,,,,,0.0,,0.0,0.0,,
2022-01-07,0.5600000023841858,0.5899999737739563,0.5600000023841858,0.5699999928474426,0.0,,,,,0.0,,0.0,0.0,,
2022-01-10,0.6100000143051147,0.8500000238418579,0.6100000143051147,0.7300000190734863,0.0,,,,,0.0,,0.0,0.0,,
2022-01-11,0.7099999785423279,0.7300000190734863,0.6700000166893005,0.6800000071525574,0.0,,,,,0.0,,0.0,0.0,,
2022-01-12,0.6800000071525574,0.7099999785423279,0.6499999761581421,0.6700000166893005,0.0,,,,,0.0,,0.0,0.0,,
2022-01-13,0.6700000166893005,0.6800000071525574,0.6100000143051147,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-01-14,0.6299999952316284,0.6600000262260437,0.6000000238418579,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-01-18,0.6100000143051147,0.6100000143051147,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-01-19,0.6000000238418579,0.6200000047683716,0.5799999833106995,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-01-20,0.6200000047683716,0.6399999856948853,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-01-21,0.6000000238418579,0.6100000143051147,0.5799999833106995,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-01-24,0.5899999737739563,0.6200000047683716,0.5699999928474426,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-01-25,0.6100000143051147,0.6200000047683716,0.5899999737739563,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-01-26,0.6200000047683716,0.6299999952316284,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-01-27,0.6000000238418579,0.6200000047683716,0.5799999833106995,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-01-28,0.5799999833106995,0.6200000047683716,0.5699999928474426,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-01-31,0.5899999737739563,0.6499999761581421,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-02-01,0.6000000238418579,0.6499999761581421,0.6000000238418579,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-02-02,0.6200000047683716,0.6399999856948853,0.6100000143051147,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-02-03,0.6100000143051147,0.6200000047683716,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-02-04,0.6000000238418579,0.6200000047683716,0.5899999737739563,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-02-07,0.6299999952316284,0.6499999761581421,0.6100000143051147,0.6499999761581421,0.0,,,,,0.0,,0.0,0.0,,
2022-02-08,0.6499999761581421,0.6499999761581421,0.6000000238418579,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-02-09,0.6299999952316284,0.6299999952316284,0.6000000238418579,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-02-10,0.6000000238418579,0.6299999952316284,0.6000000238418579,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-02-11,0.6000000238418579,0.6200000047683716,0.5699999928474426,0.5799999833106995,0.0,,,,,0.0,,0.0,0.0,,
2022-02-14,0.5899999737739563,0.6100000143051147,0.5699999928474426,0.5699999928474426,0.0,,,,,0.0,,0.0,0.0,,
2022-02-15,0.6100000143051147,0.6200000047683716,0.5899999737739563,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-02-16,0.6200000047683716,0.6399999856948853,0.6000000238418579,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-02-17,0.6100000143051147,0.6399999856948853,0.6100000143051147,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-02-18,0.6200000047683716,0.6299999952316284,0.6000000238418579,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-02-22,0.5899999737739563,0.6100000143051147,0.5799999833106995,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-02-23,0.6000000238418579,0.6000000238418579,0.5799999833106995,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-02-24,0.5299999713897705,0.6000000238418579,0.5199999809265137,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-02-25,0.6000000238418579,0.6200000047683716,0.5799999833106995,0.6200000047683716,0.0,,,,,0.0,,0.0,0.0,,
2022-02-28,0.6299999952316284,0.6499999761581421,0.6200000047683716,0.6399999856948853,0.0,,,,,0.0,,0.0,0.0,,
2022-03-01,0.6399999856948853,0.7300000190734863,0.6299999952316284,0.6700000166893005,0.0,,,,,0.0,,0.0,0.0,,
2022-03-02,0.6700000166893005,0.699999988079071,0.6399999856948853,0.6600000262260437,0.0,,,,,0.0,,0.0,0.0,,
2022-03-03,0.6700000166893005,0.6800000071525574,0.6399999856948853,0.6700000166893005,0.0,,,,,0.0,,0.0,0.0,,
2022-03-04,0.6499999761581421,0.6800000071525574,0.6200000047683716,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-03-07,0.5899999737739563,0.6399999856948853,0.5899999737739563,0.6000000238418579,0.0,,,,,0.0,,0.0,0.0,,
2022-03-08,0.6000000238418579,0.6399999856948853,0.5899999737739563,0.6100000143051147,0.0,,,,,0.0,,0.0,0.0,,
2022-03-09,0.6100000143051147,0.6499999761581421,0.6100000143051147,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-03-10,0.6399999856948853,0.6499999761581421,0.6100000143051147,0.6399999856948853,0.0,,,,,0.0,,0.0,0.0,,
2022-03-11,0.6200000047683716,0.6399999856948853,0.6100000143051147,0.6299999952316284,0.0,,,,,0.0,,0.0,0.0,,
2022-03-14,0.6399999856948853,0.6399999856948853,0.5899999737739563,0.5899999737739563,0.0,,,,,0.0,,0.0,0.0,,
2022-03-15,0.5899999737739563,0.6000000238418579,0.550000011920929,0.550000011920929,0.0,,,,,0.0,,0.0,0.0,,
2022-03-16,0.5600000023841858,0.6000000238418579,0.5600000023841858,0.5899999737739563,0.0,0.550000011920929,0.699999988079071,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-17,0.6000000238418579,0.6100000143051147,0.5799999833106995,0.6000000238418579,0.0,0.550000011920929,0.6800000071525574,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-18,0.6000000238418579,0.6200000047683716,0.5899999737739563,0.6200000047683716,0.0,0.550000011920929,0.6800000071525574,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-21,0.6200000047683716,0.6800000071525574,0.6200000047683716,0.6399999856948853,0.0,0.550000011920929,0.6499999761581421,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-22,0.6399999856948853,0.6600000262260437,0.5899999737739563,0.6399999856948853,0.0,0.550000011920929,0.6800000071525574,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-23,0.6399999856948853,0.6399999856948853,0.6000000238418579,0.6100000143051147,0.0,0.550000011920929,0.6800000071525574,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-24,0.6100000143051147,0.6200000047683716,0.5899999737739563,0.6000000238418579,0.0,0.550000011920929,0.6800000071525574,0.5199999809265137,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-25,0.6100000143051147,0.6200000047683716,0.5899999737739563,0.6000000238418579,0.0,0.550000011920929,0.6800000071525574,0.550000011920929,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-28,0.6200000047683716,0.6200000047683716,0.5799999833106995,0.5899999737739563,0.0,0.550000011920929,0.6800000071525574,0.550000011920929,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-29,0.5899999737739563,0.6100000143051147,0.5799999833106995,0.6000000238418579,0.0,0.550000011920929,0.6800000071525574,0.550000011920929,0.7300000190734863,0.0,,0.0,0.0,20.0,10.0
2022-03-30,0.6100000143051147,0.6100000143051147,0.5799999833106995,0.5799999833106995,0.0,0.5600000023841858,0.6800000071525574,0.550000011920929,0.699999988079071,0.0,,0.0,0.0,20.0,10.0
2022-03-31,0.5899999737739563,0.5899999737739563,0.5600000023841858,0.5699999928474426,0.0,0.5799999833106995,0.6800000071525574,0.550000011920929,0.6800000071525574,0.0,,0.0,0.0,20.0,10.0
2022-04-01,0.5600000023841858,0.5899999737739563,0.550000011920929,0.5699999928474426,0.0,0.5600000023841858,0.6800000071525574,0.550000011920929,0.6800000071525574,0.0,,0.0,0.0,20.0,10.0
2022-04-04,0.5699999928474426,0.5799999833106995,0.5600000023841858,0.5699999928474426,0.0,0.550000011920929,0.6800000071525574,0.550000011920929,0.6800000071525574,0.0,,0.0,0.0,20.0,10.0
2022-04-05,0.5699999928474426,0.5899999737739563,0.5600000023841858,0.5600000023841858,0.0,0.550000011920929,0.6600000262260437,0.550000011920929,0.6800000071525574,0.0,,0.0,0.0,20.0,10.0
2022-04-06,0.5600000023841858,0.5699999928474426,0.5600000023841858,0.5600000023841858,0.0,0.550000011920929,0.6399999856948853,0.550000011920929,0.6800000071525574,0.0,,0.0,0.0,20.0,10.0
2022-04-07,0.5600000023841858,0.5600000023841858,0.5299999713897705,0.5400000214576721,-1.0,0.550000011920929,0.6200000047683716,0.550000011920929,0.6800000071525574,-1.0,0.6200000047683716,0.6200000047683716,0.07999998331069946,20.0,10.0
2022-04-08,0.5400000214576721,0.550000011920929,0.5,0.5099999904632568,-1.0,0.5299999713897705,0.6200000047683716,0.5299999713897705,0.6800000071525574,-1.0,,0.6200000047683716,0.11000001430511475,20.0,10.0
2022-04-11,0.5099999904632568,0.5099999904632568,0.4699999988079071,0.47999998927116394,-1.0,0.5,0.6200000047683716,0.5,0.6800000071525574,-1.0,,0.6200000047683716,0.14000001549720764,20.0,10.0
2022-04-12,0.47999998927116394,0.49000000953674316,0.4699999988079071,0.4699999988079071,-1.0,0.4699999988079071,0.6100000143051147,0.4699999988079071,0.6800000071525574,-1.0,,0.6200000047683716,0.15000000596046448,20.0,10.0
2022-04-13,0.4699999988079071,0.5199999809265137,0.4699999988079071,0.5,-1.0,0.4699999988079071,0.6100000143051147,0.4699999988079071,0.6800000071525574,-1.0,,0.6200000047683716,0.12000000476837158,20.0,10.0
2022-04-14,0.49000000953674316,0.49000000953674316,0.47999998927116394,0.47999998927116394,-1.0,0.4699999988079071,0.5899999737739563,0.4699999988079071,0.6800000071525574,-1.0,,0.6200000047683716,0.14000001549720764,20.0,10.0
2022-04-18,0.47999998927116394,0.47999998927116394,0.46000000834465027,0.46000000834465027,-1.0,0.4699999988079071,0.5899999737739563,0.4699999988079071,0.6800000071525574,-1.0,,0.6200000047683716,0.1599999964237213,20.0,10.0
2022-04-19,0.46000000834465027,0.47999998927116394,0.46000000834465027,0.4699999988079071,-1.0,0.46000000834465027,0.5899999737739563,0.46000000834465027,0.6800000071525574,-1.0,,0.6200000047683716,0.15000000596046448,20.0,10.0
2022-04-20,0.4699999988079071,0.47999998927116394,0.46000000834465027,0.4699999988079071,-1.0,0.46000000834465027,0.5899999737739563,0.46000000834465027,0.6600000262260437,-1.0,,0.6200000047683716,0.15000000596046448,20.0,10.0
2022-04-21,0.46000000834465027,0.4699999988079071,0.4399999976158142,0.44999998807907104,-1.0,0.46000000834465027,0.5699999928474426,0.46000000834465027,0.6399999856948853,-1.0,,0.6200000047683716,0.17000001668930054,20.0,10.0
2022-04-22,0.46000000834465027,0.46000000834465027,0.4300000071525574,0.44999998807907104,-1.0,0.4399999976158142,0.5600000023841858,0.4399999976158142,0.6200000047683716,-1.0,,0.6200000047683716,0.17000001668930054,20.0,10.0
2022-04-25,0.4300000071525574,0.46000000834465027,0.4300000071525574,0.44999998807907104,-1.0,0.4300000071525574,0.550000011920929,0.4300000071525574,0.6200000047683716,-1.0,,0.6200000047683716,0.17000001668930054,20.0,10.0
2022-04-26,0.44999998807907104,0.46000000834465027,0.4399999976158142,0.4399999976158142,-1.0,0.4300000071525574,0.5199999809265137,0.4300000071525574,0.6200000047683716,-1.0,,0.6200000047683716,0.18000000715255737,20.0,10.0
2022-04-27,0.41999998688697815,0.46000000834465027,0.41999998688697815,0.4399999976158142,-1.0,0.4300000071525574,0.5199999809265137,0.4300000071525574,0.6100000143051147,-1.0,,0.6200000047683716,0.18000000715255737,20.0,10.0
2022-04-28,0.4399999976158142,0.4399999976158142,0.4000000059604645,0.41999998688697815,-1.0,0.41999998688697815,0.5199999809265137,0.41999998688697815,0.6100000143051147,-1.0,,0.6200000047683716,0.20000001788139343,20.0,10.0
2022-04-29,0.41999998688697815,0.4300000071525574,0.38999998569488525,0.38999998569488525,-1.0,0.4000000059604645,0.49000000953674316,0.4000000059604645,0.5899999737739563,-1.0,,0.6200000047683716,0.23000001907348633,20.0,10.0
2022-05-02,0.4300000071525574,0.4399999976158142,0.38999998569488525,0.41999998688697815,-1.0,0.38999998569488525,0.47999998927116394,0.38999998569488525,0.5899999737739563,-1.0,,0.6200000047683716,0.20000001788139343,20.0,10.0
2022-05-03,0.4300000071525574,0.44999998807907104,0.41999998688697815,0.4300000071525574,-1.0,0.38999998569488525,0.47999998927116394,0.38999998569488525,0.5899999737739563,-1.0,,0.6200000047683716,0.1899999976158142,20.0,10.0
2022-05-04,0.4300000071525574,0.44999998807907104,0.41999998688697815,0.4399999976158142,-1.0,0.38999998569488525,0.47999998927116394,0.38999998569488525,0.5899999737739563,-1.0,,0.6200000047683716,0.18000000715255737,20.0,10.0
2022-05-05,0.4399999976158142,0.4399999976158142,0.4099999964237213,0.41999998688697815,-1.0,0.38999998569488525,0.4699999988079071,0.38999998569488525,0.5699999928474426,-1.0,,0.6200000047683716,0.20000001788139343,20.0,10.0
2022-05-06,0.41999998688697815,0.41999998688697815,0.38999998569488525,0.4000000059604645,-1.0,0.38999998569488525,0.46000000834465027,0.38999998569488525,0.5600000023841858,-1.0,,0.6200000047683716,0.2199999988079071,20.0,10.0
2022-05-09,0.4000000059604645,0.4000000059604645,0.3700000047683716,0.3799999952316284,-1.0,0.38999998569488525,0.46000000834465027,0.38999998569488525,0.550000011920929,-1.0,,0.6200000047683716,0.24000000953674316,20.0,10.0
